                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4045,                 1.1386,                 1.3822,                0.69674,                0.57407,                0.64303,                0.34425,                 1.7245,                  1.378,                 1.6564,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.3516,                  1.096,                 1.3451,                0.71226,                0.64815,                0.65489,                0.33396,                 1.7341,                 1.4117,                 1.6651,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.3385,                 1.0214,                 1.3544,                0.65013,                0.64815,                0.55865,                0.30867,                 1.7053,                 1.5853,                 1.5992,               0.001307,               0.001307,               0.001307
                     38,                 1.3104,                 1.0017,                 1.3224,                0.73328,                0.64815,                0.68995,                0.39586,                 1.6468,                 1.3458,                 1.5587,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.3333,                 1.0071,                 1.3388,                0.70301,                0.59259,                0.64559,                0.35431,                 1.7281,                 1.3634,                 1.6421,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.2438,                0.93473,                 1.2956,                0.78109,                0.59473,                 0.6581,                 0.3414,                 1.6959,                 1.3154,                 1.6179,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.2747,                 1.0173,                 1.3161,                0.83731,                0.59259,                0.67337,                0.38955,                 1.6626,                 1.3325,                 1.5919,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.2273,                0.95098,                 1.2589,                0.81918,                0.68519,                0.68311,                0.39021,                 1.6515,                 1.4249,                  1.539,               0.001208,               0.001208,               0.001208
                     43,                 1.2578,                 0.9753,                 1.3019,                0.78365,                0.66667,                0.70876,                0.38815,                 1.6805,                 1.2437,                 1.5447,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.2419,                0.94985,                  1.278,                0.74003,                0.62963,                0.68936,                0.40259,                 1.6081,                 1.2977,                 1.5667,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.2107,                0.93624,                 1.2817,                0.87525,                0.64968,                0.73912,                0.38115,                 1.7445,                 1.1732,                 1.6606,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.1705,                0.88479,                 1.2375,                0.88805,                0.62963,                0.73499,                0.40169,                 1.6269,                 1.2526,                 1.5455,              0.0011288,              0.0011288,              0.0011288
                     47,                  1.209,                 0.9335,                 1.2746,                0.81936,                0.67208,                 0.7353,                 0.4122,                 1.5956,                 1.2472,                 1.5385,               0.001109,               0.001109,               0.001109
                     48,                 1.1953,                0.93327,                 1.2672,                0.75859,                0.61111,                0.70579,                0.37758,                  1.611,                 1.2908,                 1.5751,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.1519,                0.86795,                 1.2358,                0.67054,                0.75386,                0.71121,                0.41873,                 1.5139,                 1.2275,                 1.4748,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.1115,                0.83334,                 1.2103,                 0.8154,                0.61111,                0.69336,                0.43132,                 1.5555,                 1.3248,                 1.4821,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.1284,                0.85186,                  1.218,                0.80952,                0.62962,                0.69623,                0.38696,                 1.6699,                 1.3493,                 1.5708,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.1235,                 0.8206,                 1.2159,                0.84748,                0.72033,                0.74988,                0.37911,                 1.6588,                 1.2246,                 1.5962,                0.00101,                0.00101,                0.00101
                     53,                 1.1347,                0.81653,                 1.2261,                0.77523,                0.66667,                0.70373,                0.40858,                 1.5098,                 1.2317,                 1.5256,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.0714,                0.75026,                 1.1616,                0.88068,                0.54687,                0.67796,                0.37835,                 1.6223,                  1.338,                 1.6115,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.0966,                0.83828,                  1.207,                0.74234,                 0.6937,                 0.7187,                0.38785,                 1.6681,                 1.3104,                 1.5673,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.1044,                0.80773,                 1.1925,                0.71774,                0.68519,                 0.7014,                0.40387,                 1.5846,                 1.2236,                  1.523,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.0934,                0.80066,                 1.2024,                0.77476,                0.68519,                0.69713,                0.39659,                 1.5854,                 1.2448,                 1.5139,               0.000911,               0.000911,               0.000911
                     58,                 1.0625,                0.76383,                 1.1666,                0.75582,                0.66667,                0.69684,                 0.3831,                 1.5642,                 1.3118,                 1.5603,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.0697,                0.78963,                 1.2109,                0.78239,                0.73246,                0.73854,                0.39973,                 1.5885,                 1.1809,                 1.5641,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.0306,                0.73271,                 1.1482,                0.87105,                0.62556,                 0.7146,                0.37831,                 1.7215,                  1.296,                 1.6383,              0.0008516,              0.0008516,              0.0008516
                     61,                0.97671,                0.69416,                 1.1106,                 0.7798,                0.75926,                0.74868,                0.39627,                 1.6759,                 1.1304,                 1.6323,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.0262,                0.70778,                 1.1513,                0.88336,                0.74074,                0.78195,                0.44106,                 1.6321,                 1.0871,                 1.5952,               0.000812,               0.000812,               0.000812
                     63,                0.97345,                0.69298,                 1.1296,                0.93079,                0.74731,                0.78647,                0.42027,                 1.6716,                 1.0329,                 1.6436,              0.0007922,              0.0007922,              0.0007922
                     64,                0.96353,                0.68454,                 1.1253,                0.85671,                0.77507,                0.77043,                0.39293,                 1.6304,                 1.0797,                 1.5787,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.0024,                0.71181,                 1.1478,                0.81228,                0.72119,                0.73464,                0.41583,                  1.659,                 1.1303,                 1.5748,              0.0007526,              0.0007526,              0.0007526
                     66,                0.97965,                0.67074,                 1.1171,                0.83331,                0.74074,                0.73093,                0.40377,                 1.6217,                  1.222,                 1.5626,              0.0007328,              0.0007328,              0.0007328
                     67,                0.96718,                0.68362,                 1.1217,                0.82375,                0.74074,                0.77728,                0.44064,                 1.5277,                 1.0761,                 1.5212,               0.000713,               0.000713,               0.000713
                     68,                 0.9977,                0.70656,                 1.1543,                0.90452,                0.70181,                0.77242,                0.46225,                 1.5112,                  1.028,                 1.4851,              0.0006932,              0.0006932,              0.0006932
                     69,                0.96789,                0.65307,                 1.1259,                0.79569,                0.72222,                 0.7464,                0.43618,                 1.6381,                 1.1587,                 1.6114,              0.0006734,              0.0006734,              0.0006734
                     70,                0.97351,                0.67261,                 1.1222,                 0.9432,                 0.7037,                0.77305,                0.46827,                 1.5577,                 1.1233,                 1.4977,              0.0006536,              0.0006536,              0.0006536
                     71,                0.93769,                0.65029,                 1.1079,                0.84003,                 0.7037,                0.73925,                0.43523,                 1.5843,                 1.1532,                 1.5785,              0.0006338,              0.0006338,              0.0006338
                     72,                0.89359,                0.64433,                 1.0769,                0.90059,                0.74074,                0.78425,                0.43601,                 1.6127,                  1.116,                 1.6213,               0.000614,               0.000614,               0.000614
                     73,                0.85599,                0.60234,                 1.0776,                0.71491,                0.74306,                 0.7344,                 0.4007,                 1.6576,                 1.2824,                 1.6219,              0.0005942,              0.0005942,              0.0005942
                     74,                0.90048,                0.62474,                 1.0726,                0.86339,                0.70228,                0.73006,                0.42759,                 1.5668,                 1.1796,                 1.5389,              0.0005744,              0.0005744,              0.0005744
                     75,                0.88811,                0.63428,                 1.0802,                0.84584,                0.75926,                0.75098,                0.42393,                 1.5293,                 1.0649,                 1.5254,              0.0005546,              0.0005546,              0.0005546
                     76,                0.83044,                0.57253,                 1.0587,                0.86879,                0.66667,                 0.7575,                0.45452,                 1.5591,                 1.0399,                 1.5332,              0.0005348,              0.0005348,              0.0005348
                     77,                0.85327,                 0.5987,                 1.0728,                0.77953,                 0.7037,                0.75595,                0.42275,                  1.662,                 1.0982,                 1.6642,               0.000515,               0.000515,               0.000515
                     78,                0.81035,                0.54386,                  1.029,                0.90403,                 0.6979,                0.78968,                0.47034,                 1.5455,                 1.0191,                 1.5402,              0.0004952,              0.0004952,              0.0004952
                     79,                0.81518,                0.55849,                 1.0286,                0.88028,                 0.7037,                0.77658,                0.46822,                 1.5094,                 1.1221,                  1.506,              0.0004754,              0.0004754,              0.0004754
                     80,                0.84006,                0.57625,                 1.0528,                0.89982,                0.72222,                0.77748,                0.44832,                 1.6194,                 1.1405,                 1.5607,              0.0004556,              0.0004556,              0.0004556
                     81,                0.81849,                0.54298,                  1.047,                0.86533,                0.74074,                 0.7511,                0.45092,                 1.6505,                  1.124,                 1.6169,              0.0004358,              0.0004358,              0.0004358
                     82,                0.79798,                0.55469,                 1.0305,                0.85016,                0.75926,                0.79058,                0.46314,                 1.6263,                0.99161,                 1.6199,               0.000416,               0.000416,               0.000416
                     83,                0.81772,                0.55634,                 1.0362,                0.83427,                0.75926,                0.78038,                0.46877,                 1.5863,                0.94508,                 1.6158,              0.0003962,              0.0003962,              0.0003962
                     84,                0.79932,                0.55301,                 1.0465,                0.88028,                0.72222,                0.76474,                0.45553,                 1.6571,                 1.0484,                 1.6272,              0.0003764,              0.0003764,              0.0003764
                     85,                0.79237,                0.55526,                 1.0236,                0.84474,                0.70532,                0.75431,                0.42685,                 1.6768,                 1.0532,                 1.6272,              0.0003566,              0.0003566,              0.0003566
                     86,                0.77751,                0.52482,                 1.0225,                0.82216,                0.68488,                0.72229,                0.44669,                 1.5848,                 1.0468,                 1.5844,              0.0003368,              0.0003368,              0.0003368
                     87,                0.77445,                 0.5358,                 1.0217,                0.80173,                 0.7037,                0.74585,                0.44481,                 1.5496,                0.98407,                 1.5698,               0.000317,               0.000317,               0.000317
                     88,                0.76392,                0.52607,                 1.0152,                0.81332,                0.68519,                0.73359,                0.44202,                 1.5727,                 1.0553,                 1.5669,              0.0002972,              0.0002972,              0.0002972
