Timestamp,EEG.AF3,EEG.Pz,EEG.AF4,CQ.AF3,CQ.Pz,CQ.AF4,CQ.Overall,EQ.OVERALL,EQ.AF3,EQ.Pz,EQ.AF4,PM.Attention.IsActive,PM.Attention.Scaled,PM.Attention.Raw,PM.Attention.Min,PM.Attention.Max,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,PM.Focus.IsActive,PM.Focus.Scaled,PM.Focus.Raw,PM.Focus.Min,PM.Focus.Max,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,label
1709134428.170694,4250.256348,4103.589844,4248.717773,4.0,4.0,4.0,100.0,100.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.514687,18.756567,8.163674,3.685395,5.587467,11.146027,2.078909,1.372463,1.023331,0.600871,45.068413,7.989426,1.037115,0.848233,0.618,-1.0
1709134428.29573,4250.256348,4093.333252,4243.077148,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.375374,22.220253,8.619065,4.007149,6.235862,6.493542,1.684061,0.946488,1.072767,0.642219,42.219116,9.752751,1.117447,0.877629,0.694302,-1.0
1709134428.420765,4273.333496,4109.230957,4281.025879,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.74765,24.908394,8.910401,4.278948,6.966804,3.857258,1.561339,0.775254,1.105446,0.688297,40.277996,11.168583,1.243542,0.887019,0.785041,-1.0
1709134428.545801,4349.743652,4109.230957,4292.307617,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.458153,25.391188,8.777328,4.325416,7.696404,2.890738,1.584987,0.846184,1.100383,0.728545,39.209747,11.4979,1.395531,0.872965,0.8857,-1.0
1709134428.670836,4334.871582,4124.615234,4261.025879,4.0,4.0,4.0,100.0,100.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.300972,23.169687,8.090044,4.06924,8.290922,2.787821,1.610299,1.076571,1.048784,0.747027,38.593929,10.580222,1.568289,0.841041,0.985585,-1.0
1709134428.670836,4334.871582,4124.615234,4261.025879,4.0,4.0,4.0,100.0,100.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.300972,23.169687,8.090044,4.06924,8.290922,2.787821,1.610299,1.076571,1.048784,0.747027,38.593929,10.580222,1.568289,0.841041,0.985585,-1.0
1709134428.795872,4351.794922,4092.307617,4236.922852,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.431213,18.85006,6.84725,3.561694,8.625234,2.96285,1.597967,1.340781,0.951327,0.730829,36.509544,8.783814,1.732429,0.798586,1.070329,-1.0
1709134428.920907,4375.384766,4123.589844,4252.820313,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.233505,13.767137,5.261384,2.97476,8.647717,3.744566,1.682188,1.527203,0.824032,0.680718,31.388823,6.849959,1.844698,0.75005,1.127531,-1.0
1709134429.045943,4295.897461,4093.333252,4112.820313,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.267811,9.285499,3.711287,2.53629,8.396421,5.816234,1.971768,1.558854,0.693446,0.613182,23.497301,5.418531,1.868951,0.697595,1.151988,-1.0
1709134429.170978,4374.871582,4113.846191,4063.589844,4.0,4.0,4.0,100.0,100.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.364719,6.130496,2.528615,2.3706,7.957543,9.465549,2.478487,1.440705,0.585292,0.553159,15.413177,4.652298,1.789544,0.6448,1.146466,-1.0
1709134429.170978,4374.871582,4113.846191,4063.589844,4.0,4.0,4.0,100.0,100.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.364719,6.130496,2.528615,2.3706,7.957543,9.465549,2.478487,1.440705,0.585292,0.553159,15.413177,4.652298,1.789544,0.6448,1.146466,-1.0
1709134429.296014,4386.153809,4155.897461,4043.589844,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.267721,4.476979,1.822154,2.459388,7.39025,14.236295,3.086843,1.232843,0.51727,0.521846,9.206295,4.440598,1.624255,0.599971,1.12036,-1.0
1709134429.421049,4681.538574,4176.922852,4277.94873,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.363107,3.953236,1.474239,2.66612,6.712214,18.782011,3.622099,1.027119,0.491911,0.524809,5.40665,4.506045,1.415055,0.577265,1.087503,-1.0
1709134429.546085,4368.205078,4150.256348,4102.05127,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.850932,4.150607,1.281548,2.829973,5.946223,21.783234,3.911727,0.912751,0.497907,0.553833,4.843644,4.669395,1.198046,0.591189,1.059942,-1.0
1709134429.671121,4313.846191,4120.0,4066.666748,4.0,4.0,4.0,100.0,100.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.145019,5.287281,1.344185,2.872928,5.194069,22.293465,3.874338,0.937314,0.519966,0.596187,8.698892,4.896814,1.032506,0.654851,1.046934,-1.0
1709134429.671121,4313.846191,4120.0,4066.666748,4.0,4.0,4.0,100.0,100.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.145019,5.287281,1.344185,2.872928,5.194069,22.293465,3.874338,0.937314,0.519966,0.596187,8.698892,4.896814,1.032506,0.654851,1.046934,-1.0
1709134429.796156,4209.230957,4177.436035,4059.487061,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.699324,7.954318,1.933593,2.855625,4.635863,20.100714,3.586162,1.076262,0.552019,0.642855,18.919947,5.370368,0.999483,0.774864,1.051985,-1.0
1709134429.921192,4319.487305,4082.564209,4131.282227,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.487366,12.289042,3.155873,2.866056,4.396842,15.992408,3.280162,1.265118,0.613564,0.690498,35.739586,6.17177,1.140544,0.958098,1.069472,-1.0
