Timestamp,EEG.AF3,EEG.Pz,EEG.AF4,CQ.AF3,CQ.Pz,CQ.AF4,CQ.Overall,EQ.OVERALL,EQ.AF3,EQ.Pz,EQ.AF4,PM.Attention.IsActive,PM.Attention.Scaled,PM.Attention.Raw,PM.Attention.Min,PM.Attention.Max,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,PM.Focus.IsActive,PM.Focus.Scaled,PM.Focus.Raw,PM.Focus.Min,PM.Focus.Max,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,label
1709133109.921126,4352.307617,4079.487061,4280.0,4.0,4.0,4.0,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07828,4.068265,1.966936,1.13894,1.021432,3.468429,1.860594,2.142179,0.724657,1.270303,2.848891,4.24732,1.949106,1.232701,1.056766,0.0
1709133108.67077,4323.077148,4131.794922,4303.589844,4.0,4.0,4.0,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.145931,2.778042,1.888852,1.03364,0.808893,2.066955,3.917909,3.019191,0.837315,1.129113,1.798323,3.057489,1.608845,1.279107,1.015604,0.0
1709133306.727114,4226.153809,4178.974121,4285.128418,4.0,4.0,4.0,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.520966,22.817387,8.121793,4.031059,1.646943,5.977489,2.962076,1.667073,1.139656,0.685585,43.933834,9.659179,1.843264,1.049521,0.81325,1.0
1709133113.547157,4377.94873,4153.846191,4318.461426,4.0,4.0,4.0,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.059714,3.529983,2.213066,1.068015,1.577362,3.539566,2.509564,2.342949,1.309327,1.276329,1.902742,3.537605,2.241284,1.306296,0.944869,0.0
1709133096.792391,4330.256348,4178.461426,4242.563965,4.0,4.0,4.0,66.666664,66.666664,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.885501,2.498256,5.983809,3.01314,4.439217,7.128384,3.13592,3.38826,1.051032,0.772851,2.557946,1.521049,1.117929,1.134993,1.211532,0.0
1709133316.354853,4318.461426,4014.871826,4278.461426,4.0,4.0,4.0,66.666664,66.666664,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.733643,16.08547,4.118681,2.951317,6.291245,5.810357,4.068447,0.622355,1.065733,1.024066,73.652954,12.412745,3.192098,2.33052,1.215804,0.0
1709133093.416431,4300.0,4164.615234,4265.128418,4.0,4.0,4.0,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.340865,1.433112,0.987236,1.260774,2.433612,1.986624,1.595902,1.771575,0.828027,1.088547,5.803171,2.28438,2.228263,1.019203,1.005576,0.0
1709133345.363105,4709.230957,4265.641113,4438.974121,4.0,4.0,4.0,66.666664,66.666664,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.766121,10.86762,2.025258,4.198568,5.234457,4.048827,1.764379,1.517809,0.578328,0.442927,12.416747,6.357473,1.569099,0.642496,0.763686,1.0
1709133285.846173,4256.410156,4178.974121,4191.794922,4.0,4.0,4.0,66.666664,33.333332,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.033344,3.261445,4.276994,4.851547,8.647073,5.057933,5.068765,2.769806,1.561653,1.222709,14.250304,5.94365,2.831265,1.994758,1.482617,0.0
1709133134.428098,4374.358887,4112.820313,4326.153809,4.0,4.0,4.0,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.009522,0.421256,0.28931,3.448587,2.395028,2.092262,1.960941,0.855597,1.190068,0.783141,5.017844,1.32328,1.938765,1.056683,0.554723,0.0
