Timestamp,EEG.AF3,EEG.Pz,EEG.AF4,CQ.AF3,CQ.Pz,CQ.AF4,CQ.Overall,EQ.OVERALL,EQ.AF3,EQ.Pz,EQ.AF4,PM.Attention.IsActive,PM.Attention.Scaled,PM.Attention.Raw,PM.Attention.Min,PM.Attention.Max,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,PM.Focus.IsActive,PM.Focus.Scaled,PM.Focus.Raw,PM.Focus.Min,PM.Focus.Max,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,label
1708964449.669595,4344.615234,4208.205078,4307.692383,4.0,4.0,4.0,100.0,66.666664,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.809128,34.863098,6.067376,4.296381,14.389619,5.470614,12.449421,3.078504,3.784945,2.976636,69.220184,29.024813,4.127995,1.905625,2.462517,1.0
1708964032.550653,4187.692383,4093.846191,4165.641113,4.0,4.0,4.0,100.0,91.666664,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.824915,20.658655,2.483364,2.833938,2.577108,13.570876,7.49494,2.90712,0.815868,1.260255,19.642439,15.113869,3.797301,1.432608,1.133658,0.0
1708964189.595435,4281.538574,4131.282227,4288.717773,4.0,4.0,4.0,100.0,100.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.154872,3.043196,4.198991,2.474448,3.853976,2.36408,4.367426,2.126081,2.088336,1.363165,2.98575,2.89443,1.897287,2.049429,1.539033,-1.0
1708963912.39139,4229.230957,3792.307617,3944.615479,4.0,4.0,1.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586.938416,77.626556,7.591416,3.710087,2.799717,1.972099,10.483238,2.267053,1.890802,1.670862,123.289825,20.120783,2.771213,0.930318,1.367335,-1.0
1708963912.516426,4495.897461,3855.384521,4194.358887,4.0,4.0,4.0,100.0,41.666668,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.212524,67.829605,6.45351,3.529505,2.544769,2.943646,10.143134,2.170554,2.012992,1.523103,112.2369,19.251318,2.694936,1.055331,1.373624,-1.0
1708964033.425903,4365.128418,4233.846191,4360.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.838013,33.107727,4.604327,1.752441,2.235472,8.424679,9.327487,1.787088,3.089638,1.453933,110.370171,20.796467,2.749876,2.108106,1.44398,0.0
1708964442.667598,4264.102539,4131.282227,4212.307617,4.0,4.0,4.0,100.0,91.666664,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611.138184,50.344582,9.674698,4.855433,3.429779,14.269437,5.517647,5.765326,1.187053,1.690156,194.416794,27.449596,6.595468,1.961025,1.864528,1.0
1708964444.418097,4357.436035,4185.641113,4207.692383,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.996337,13.618533,3.304858,4.29112,6.358861,7.159538,7.737398,7.065645,2.619165,2.276758,8.307058,16.872343,3.950084,4.407935,3.045783,0.0
1708963973.283754,4432.307617,4178.974121,4345.641113,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.853577,19.753124,6.774983,4.442701,4.760353,9.847434,11.34239,5.157103,1.204677,1.074172,88.356155,12.419119,8.194014,1.654273,1.332372,1.0
1708963869.629196,4437.436035,4298.461426,4401.025879,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.142395,21.297771,4.599432,3.455866,3.521698,18.818287,10.815898,2.57753,1.225392,1.483569,39.866497,12.836535,1.821504,1.69453,1.859821,-1.0
